year,Treatment,crop,mean_yield
1989,T1,Maize,7906
1989,T2,Maize,8112
1989,T3,Wheat,1993
1989,T4,Wheat,1958
1990,T1,Soybean,2841
1990,T2,Soybean,2973
1990,T3,Maize,4546
1990,T4,Maize,4642
1991,T1,Maize,8326
1991,T2,Maize,8026
1991,T3,Soybean,3177
1991,T4,Soybean,3148
1992,T1,Soybean,1839
1992,T2,Soybean,2219
1992,T3,Wheat,2283
1992,T4,Wheat,1487
1993,T1,Maize,7113
1993,T2,Maize,7090
1993,T3,Maize,5049
1993,T4,Maize,3253
1994,T1,Soybean,3012
1994,T2,Soybean,2862
1994,T21,Soybean,NA
1994,T3,Soybean,3091
1994,T4,Soybean,3192
1995,T1,Wheat,3302
1995,T2,Wheat,3485
1995,T21,Wheat,NA
1995,T3,Wheat,3177
1995,T4,Wheat,2193
1996,T1,Maize,3201
1996,T2,Maize,4041
1996,T21,Maize,NA
1996,T3,Maize,4178
1996,T4,Maize,2527
1997,T1,Soybean,1515
1997,T2,Soybean,2044
1997,T21,Soybean,NA
1997,T3,Soybean,1814
1997,T4,Soybean,1651
1998,T1,Wheat,3014
1998,T2,Wheat,2802
1998,T21,Wheat,2500
1998,T3,Wheat,2209
1998,T4,Wheat,1114
1999,T1,Maize,4013
1999,T2,Maize,3804
1999,T21,Maize,3333
1999,T3,Maize,4414
1999,T4,Maize,4178
2000,T1,Soybean,2657
2000,T2,Soybean,2922
2000,T21,Soybean,2762
2000,T3,Soybean,2866
2000,T4,Soybean,2899
2001,T1,Wheat,4203
2001,T2,Wheat,3726
2001,T21,Wheat,3618
2001,T3,Wheat,3676
2001,T4,Wheat,2715
2002,T1,Maize,5398
2002,T2,Maize,5221
2002,T3,Maize,6472
2002,T4,Maize,5453
2003,T1,Soybean,1621
2003,T2,Soybean,1855
2003,T3,Soybean,1198
2003,T4,Soybean,1010
2004,T1,Wheat,4075
2004,T2,Wheat,4162
2004,T3,Wheat,3847
2004,T4,Wheat,2299
2005,T1,Maize,7313
2005,T2,Maize,8805
2005,T3,Maize,7627
2005,T4,Maize,4996
2006,T1,Soybean,2867
2006,T2,Soybean,3602
2006,T3,Soybean,3205
2006,T4,Soybean,2971
2007,T1,Wheat,3109
2007,T2,Wheat,4199
2007,T3,Wheat,2540
2007,T4,Wheat,1944
2008,T1,Maize,5277
2008,T2,Maize,6516
2008,T3,Maize,5080
2008,T4,Maize,3717
2009,T1,Soybean,1967
2009,T2,Soybean,2570
2009,T3,Soybean,2219
2009,T4,Soybean,2165
2010,T1,Wheat,2671
2010,T2,Wheat,3646
2010,T3,Wheat,3120
2010,T4,Wheat,1936
2011,T1,Maize,10995
2011,T2,Maize,11520
2011,T3,Maize,11850
2011,T4,Maize,6473
2012,T1,Soybean,1302
2012,T2,Soybean,1884
2012,T3,Soybean,1405
2012,T4,Soybean,1215
2013,T1,Wheat,3716
2013,T2,Wheat,3033
2013,T3,Wheat,3319
2013,T4,Wheat,1769
2014,T1,Maize,9725
2014,T2,Maize,11437
2014,T3,Maize,8915
2014,T4,Maize,5476
2015,T1,Soybean,3537
2015,T2,Soybean,3966
2015,T3,Soybean,4154
2015,T4,Soybean,2530
2016,T1,Wheat,5798
2016,T2,Wheat,5886
2016,T3,Wheat,5137
2016,T4,Wheat,2694
2017,T1,Maize,7963
2017,T2,Maize,9927
2017,T3,Maize,7692
2017,T4,Maize,2617
2018,T1,Soybean,3101
2018,T2,Soybean,3589
2018,T3,Soybean,3617
2018,T4,Soybean,3315
2019,T1,Wheat,5584
2019,T2,Wheat,5192
2019,T3,Wheat,4814
2019,T4,Wheat,2102
2020,T1,Maize,6617
2020,T2,Maize,10293
2020,T3,Maize,8486
2020,T4,Maize,6712
2021,T1,Soybean,4226
2021,T2,Soybean,4180
2021,T3,Soybean,4094
2021,T4,Soybean,2005
