year,all_ac_plnt,all_ac_harv,all_bushels,all_yield_buac,irr_ac_harv,irr_bushels,irr_yield_buac,noirr_ac_harv,noirr_bushels,noirr_yield_buac,irr_ac_plnt,noirr_ac_plnt,noirr_yield_buac_harv,noirr_yield_buac_plnt
1968,142700,137600,7898000,57.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,143000,126600,6168900,48.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,146000,141800,8226000,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,145000,134100,6561000,48.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,105000,100000,6724800,67.2,65000,5386500,82.9,35000,1338300,38.2,69000,36000,38.23714285714286,37.175
1973,120000,115000,7935000,69,74000,6496000,87.8,41000,1439000,35.1,77000,43000,35.09756097560975,33.46511627906977
1974,84000,55400,3079000,55.6,43000,2864000,66.6,12400,215000,17.3,52000,32000,17.338709677419356,6.71875
1975,115100,111800,7420400,66.4,76200,6170800,81,35600,1249600,35.1,77800,37300,35.10112359550562,33.501340482573724
1976,90700,85200,5363500,63,62500,4732500,75.7,22700,631000,27.8,66600,24100,27.797356828193834,26.182572614107883
1977,37800,35700,1559300,43.7,20700,1198100,57.9,15000,361200,24.1,22800,15000,24.08,24.08
1978,22000,18100,1006300,55.6,11000,757800,68.9,7100,248500,35,11900,10100,35,24.603960396039604
1979,16200,14300,922500,64.5,8300,705500,85,6000,217000,36.2,10100,6100,36.166666666666664,35.57377049180328
1980,14000,11400,555500,48.7,8000,502500,62.8,3400,53000,15.6,8400,5600,15.588235294117647,9.464285714285714
1981,7400,7200,544500,75.6,6700,529500,79,NA,NA,NA,6800,NA,NA,NA
1982,91000,86500,4357000,50.4,28000,1657000,59.2,58500,2700000,46.2,28000,63000,46.15384615384615,42.857142857142854
1983,43000,40000,1387000,34.7,12500,674000,53.9,27500,713000,25.9,13000,30000,25.927272727272726,23.766666666666666
1984,31500,28000,1497000,53.5,10700,782000,73.1,17300,715000,41.3,12000,19500,41.32947976878613,36.666666666666664
1985,44000,39000,1602000,41.1,11500,743000,64.6,27500,859000,31.2,12000,32000,31.236363636363638,26.84375
1986,78500,73000,3197000,43.8,23500,1148000,48.9,49500,2049000,41.4,25000,53500,41.39393939393939,38.299065420560744
1987,27500,25800,1248000,48.4,7500,492000,65.6,18300,756000,41.3,7600,19900,41.31147540983606,37.98994974874372
1988,9500,9300,462000,49.7,4900,270000,55.1,4400,192000,43.6,5000,4500,43.63636363636363,42.666666666666664
1989,25000,23200,1104600,47.6,10000,625400,62.5,13200,479200,36.3,10000,15000,36.303030303030305,31.946666666666665
1990,8300,7100,353500,49.8,3800,233000,61.3,3300,120500,36.5,4100,4200,36.515151515151516,28.69047619047619
1991,13000,11300,589300,52.2,5000,306400,61.3,6300,282900,44.9,5200,7800,44.904761904761905,36.26923076923077
1992,204700,199600,12537100,62.8,85000,6339300,74.6,114600,6197800,54.1,86800,117900,54.082024432809774,52.568278201865986
1993,14700,13200,636000,48.2,6100,432000,70.8,7100,204000,28.7,6500,8200,28.732394366197184,24.878048780487806
1994,10400,8000,323000,40.4,3800,227000,59.7,4200,96000,22.9,3800,6600,22.857142857142858,14.545454545454545
1995,15900,15200,550000,36.2,3300,166000,50.3,11900,384000,32.3,3300,12600,32.26890756302521,30.476190476190474
1996,31200,29800,1421000,47.7,8600,629000,73.1,21200,792000,37.4,9000,22200,37.35849056603774,35.67567567567568
1997,25100,23900,1064000,44.5,13300,702000,52.8,10600,362000,34.2,14000,11100,34.15094339622642,32.612612612612615
1998,57200,21900,668000,30.5,8400,423000,50.4,13500,245000,18.1,11100,46100,18.14814814814815,5.314533622559653
1999,38800,37300,1570000,42.1,23200,1113000,48,14100,457000,32.4,23700,15100,32.4113475177305,30.264900662251655
2000,21400,15000,570000,38,9600,463000,48.2,5400,107000,19.8,10500,10900,19.814814814814813,9.81651376146789
2001,81600,73000,2304000,31.6,27000,1277000,47.3,46000,1027000,22.3,29600,52000,22.32608695652174,19.75
2002,47600,42800,1630000,38.1,29300,1230000,42,13500,400000,29.6,30400,17200,29.62962962962963,23.25581395348837
2003,79700,70000,3052000,43.6,39800,2100000,52.8,30200,952000,31.5,42800,36900,31.52317880794702,25.799457994579946
2004,6300,5700,248800,43.6,1700,63000,37.1,4000,185800,46.5,1800,4500,46.45,41.28888888888889
2005,7800,7400,380000,51.4,3400,241000,70.9,4000,139000,34.8,3500,4300,34.75,32.325581395348834
2006,11300,9500,349000,37,2400,180000,75,7100,169000,24,2600,8700,23.802816901408452,19.42528735632184
2007,27900,26900,1526000,57,14300,1073000,75,12600,453000,36,14900,13000,35.95238095238095,34.84615384615385
2008,60900,55800,3138000,56,28800,2060000,72,27000,1078000,40,33000,27900,39.925925925925924,38.63799283154122
2009,46000,44300,1730000,39,10600,750000,71,33700,980000,29,11000,35000,29.080118694362017,28
2010,6800,6400,391000,61.1,3300,282000,85.5,3100,109000,35.2,3300,3500,35.16129032258065,31.142857142857142
2012,34500,30100,822000,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,94200,86300,5218000,60.5,38300,3751000,97.9,48000,1467000,30.6,40200,54000,30.5625,27.166666666666668
2014,41600,37100,1696000,45.7,14100,1050000,74.5,23000,646000,28.1,14300,27300,28.08695652173913,23.663003663003664
2017,30800,29400,1255000,42.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,17100,15900,685000,43.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
